Date;Para;Codigo;Rollos;Metros
07/06/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
14/06/23;Para Fabrica;Lona Impresi—n;1;50
14/06/23;Para Fabrica;Sijia - 1500D;2;100
16/06/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
16/06/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
18/06/23;Para Fabrica;Dropstich 20cm;1;60
04/07/23;Para Fabrica;Mesh Negro;1;50
04/07/23;Para Fabrica;Sijia - 1500D;1;50
04/07/23;Para Fabrica;Sijia - Azul/Naranja;2;100
04/07/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
04/07/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
04/07/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
04/07/23;Para Fabrica;Sijia - Gris/Blanco;1;50
04/07/23;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
05/07/23;Para Fabrica;Sijia - Azul/Naranja;2;100
12/07/23;Para Fabrica;Mesh Negro;3;150
12/07/23;Para Fabrica;Sijia - Azul/Naranja;4;200
13/07/23;Para Fabrica;Sijia - Purple 18oz Fabric;5;250
13/07/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
28/07/23;Para Fabrica;Dropstich 20cm;1;60
02/08/23;Para Fabrica;Sijia - 1500D;1;50
02/08/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
02/08/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
04/08/23;Para Fabrica;Sijia - 1500D;2;100
04/08/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
04/08/23;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
04/08/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
04/08/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
08/08/23;Para Fabrica;Mesh Negro;2;100
11/08/23;Para Fabrica;Sijia - Azul/Naranja;2;100
11/08/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
11/08/23;Para Fabrica;Sijia - Gris/Blanco;2;100
18/08/23;Para Fabrica;Mesh Negro;2;100
18/08/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
18/08/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
18/08/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
25/08/23;Para Fabrica;Sijia - Azul/Naranja;3;150
25/08/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
25/08/23;Para Fabrica;Sijia - Grey 18oz Fabric;1;50
25/08/23;Para Fabrica;Sijia - Gris/Blanco;1;50
30/08/23;Para Fabrica;Mesh Negro;4;200
30/08/23;Para Fabrica;Sijia - 1500D;2;100
30/08/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
30/08/23;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
31/08/23;Para Fabrica;Lona Impresi—n;1;50
01/09/23;Para Fabrica;Sijia - Azul/Naranja;1;50
01/09/23;Para Fabrica;Sijia - Gris/Blanco;4;200
07/09/23;Para Fabrica;Sijia - 1500D;2;100
07/09/23;Para Fabrica;Sijia - Azul/Naranja;3;150
07/09/23;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
09/09/23;Para Fabrica;Dropstich 20cm;1;60
13/09/23;Para Fabrica;Sijia - White Az Slide Fabric;1;50
15/09/23;Para Fabrica;Sijia - 1500D;2;100
15/09/23;Para Fabrica;Sijia - Azul/Naranja;1;50
15/09/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
15/09/23;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
21/09/23;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
22/09/23;Para Fabrica;Mesh Negro;2;100
22/09/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
22/09/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
22/09/23;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
22/09/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
25/09/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
27/09/23;Para Fabrica;Sijia - 1500D;4;200
29/09/23;Para Fabrica;Sijia - Azul/Naranja;2;100
29/09/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
29/09/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
29/09/23;Para Fabrica;Sijia - Gris/Blanco;2;100
05/10/23;Para Fabrica;Sijia - 1500D;3;150
05/10/23;Para Fabrica;Sijia - Black 18oz Fabric;2;100
05/10/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
05/10/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
10/10/23;Para Fabrica;Sijia - Azul/Naranja;3;174
12/10/23;Para Fabrica;Sijia - 1500D;2;100
12/10/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;48
20/10/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
01/11/23;Para Fabrica;Dropstich 20cm;2;120
01/11/23;Para Fabrica;Lona Impresi—n;1;50
01/11/23;Para Fabrica;Sijia - 1500D;4;200
01/11/23;Para Fabrica;Sijia - Azul/Naranja;2;100
01/11/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
01/11/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
01/11/23;Para Fabrica;Sijia - Gris/Blanco;2;100
07/11/23;Para Fabrica;Lona Impresi—n;1;50
07/11/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
10/11/23;Para Fabrica;Sijia - 1500D;3;150
10/11/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
10/11/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
10/11/23;Para Fabrica;Sijia - Grey 18oz Fabric;7;350
10/11/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
17/11/23;Para Fabrica;Sijia - Blue 18oz Fabric;3;162
17/11/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
17/11/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
01/12/23;Para Fabrica;Mesh Negro;1;50
01/12/23;Para Fabrica;Sijia - 1500D;3;150
01/12/23;Para Fabrica;Sijia - Azul/Naranja;3;150
01/12/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
01/12/23;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
03/01/24;Para Fabrica;Mesh Blanco;2;100
03/01/24;Para Fabrica;Mesh Negro;2;100
03/01/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
03/01/24;Para Fabrica;Sijia - Red 18oz Fabric;2;100
03/01/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
04/01/24;Para Fabrica;Sijia - Green 18oz Fabric;2;100
17/01/24;Para Fabrica;Sijia - 1500D;2;100
17/01/24;Para Fabrica;Sijia - Azul/Naranja;4;200
17/01/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
17/01/24;Para Fabrica;Sijia - Cyan 18oz Fabric;1;74
17/01/24;Para Fabrica;Sijia - Gris/Blanco;2;100
17/01/24;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
17/01/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
17/01/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
30/01/24;Para Fabrica;Sijia - Azul/Naranja;1;50
01/02/24;Para Fabrica;Dropstich 20cm;1;60
06/02/24;Para Fabrica;Sijia - Azul/Naranja;4;200
14/02/24;Para Fabrica;Mesh Blanco;3;150
22/02/24;Para Venta;Sijia - Black 18oz Fabric;1;50
