Date;Para;Codigo;Rollos;Metros
28/02/25;Para Fabrica;Sijia - White Az Slide Fabric;1;50
12/03/25;Para Fabrica;Dropstich 20cm;1;60
12/03/25;Para Fabrica;Sijia - Azul/Naranja;3;150
12/03/25;Para Fabrica;Sijia - Gris/Blanco;1;40
13/03/25;Para Venta;Sijia - Rosa 18oz Fabric;1;50
14/03/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
18/03/25;Para Fabrica;Sijia - Black 18oz Fabric;1;50
18/03/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
21/03/25;Para Fabrica;Sijia - Green 18oz Fabric;1;50
21/03/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
21/03/25;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
27/03/25;Para Fabrica;Sijia - Azul/Naranja;4;190
01/04/25;Para Fabrica;Sijia - Azul/Naranja;4;200
01/04/25;Para Fabrica;TPU 7mm;3;150
01/04/25;Para Fabrica;Sijia - 1500D;2;100
03/04/25;Para Fabrica;Sijia - Gris/Blanco;2;113
10/04/25;Para Fabrica;Sijia - Blue 18oz Fabric;4;200
10/04/25;Para Fabrica;Mesh Negro;4;200
10/04/25;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
10/04/25;Para Fabrica;Sijia - Green 18oz Fabric;6;300
10/04/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
29/04/25;Para Fabrica;Sijia - Rosa 18oz Fabric;2;100
29/04/25;Para Fabrica;Mesh Blanco;1;50
02/05/25;Para Fabrica;Sijia - Gris/Blanco;2;84
02/05/25;Para Fabrica;Sijia - Black 18oz Fabric;1;50
02/05/25;Para Fabrica;Sijia - 1500D;1;50
02/05/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
02/05/25;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
02/05/25;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
08/05/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
08/05/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
08/05/25;Para Fabrica;Sijia - Red 18oz Fabric;1;50
08/05/25;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
08/05/25;Para Fabrica;Sijia - 1500D;1;50
08/05/25;Para Fabrica;Mesh Negro;2;100
08/05/25;Para Fabrica;Sijia - Green 18oz Fabric;1;50
08/05/25;Para Fabrica;Dropstich 20cm;1;60
09/05/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
09/05/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
09/05/25;Para Fabrica;Mesh Negro;2;100
15/05/25;Para Fabrica;Sijia - Green 18oz Fabric;3;150
15/05/25;Para Fabrica;Sijia - Orange 18oz Fabric;2;100
15/05/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
16/05/25;Para Fabrica;Sijia - Purple 18oz Fabric;4;200
16/05/25;Para Fabrica;Mesh Negro;3;150
16/05/25;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
16/05/25;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
16/05/25;Para Fabrica;Sijia - 1500D;2;100
16/05/25;Para Fabrica;Sijia - Red 18oz Fabric;1;50
16/05/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
20/05/25;Para Fabrica;Sijia - Green 18oz Fabric;3;150
22/05/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
22/05/25;Para Fabrica;Mesh Negro;2;100
22/05/25;Para Fabrica;Sijia - Red 18oz Fabric;2;100
22/05/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
22/05/25;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
29/05/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
29/05/25;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
29/05/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
29/05/25;Para Fabrica;Mesh Negro;2;100
04/06/25;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
04/06/25;Para Fabrica;Sijia - Orange 18oz Fabric;2;100
04/06/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
09/06/25;Para Fabrica;Sijia - Gris/Blanco;1;43
19/06/25;Para Fabrica;Sijia - Blue 18oz Fabric;3;150
19/06/25;Para Fabrica;Mesh Negro;3;150
19/06/25;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
19/06/25;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
24/06/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;112
24/06/25;Para Fabrica;Mesh Blanco;2;100
27/06/25;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
27/06/25;Para Fabrica;Sijia - Black 18oz Fabric;2;100
27/06/25;Para Fabrica;Dropstich 20cm;1;60
01/07/25;Para Fabrica;Sijia - Azul/Naranja;3;150
04/07/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
04/07/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
04/07/25;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
04/07/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
04/07/25;Para Fabrica;Mesh Blanco;3;150
04/07/25;Para Fabrica;Mesh Negro;2;100
04/07/25;Para Fabrica;Sijia - 1500D;2;100
15/07/25;Para Fabrica;Sijia - Azul/Naranja;3;150
21/07/25;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
21/07/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
21/07/25;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
21/07/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
04/08/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
04/08/25;Para Fabrica;Sijia - Azul/Naranja;2;100
04/08/25;Para Fabrica;Sijia - Gris/Blanco;2;100
06/08/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
06/08/25;Para Fabrica;Sijia - Cyan 18oz Fabric;2;92
11/08/25;Para Fabrica;Sijia - Green 18oz Fabric;1;50
11/08/25;Para Fabrica;Mesh Blanco;2;100
12/08/25;Para Fabrica;Dropstich 20cm;1;60
20/08/25;Para Fabrica;TPU 7mm;1;50
20/08/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
26/08/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
29/08/25;Para Fabrica;Sijia - 1500D;2;100
29/08/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
01/09/25;Para Fabrica;Sijia - 1500D;2;100
01/09/25;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
01/09/25;Para Fabrica;Mesh Blanco;3;150
01/09/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
01/09/25;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
05/09/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
05/09/25;Para Fabrica;Mesh Blanco;1;50
05/09/25;Para Fabrica;Sijia - Grey 18oz Fabric;1;50
05/09/25;Para Fabrica;Sijia - 1500D;1;50
05/09/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
09/09/25;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
12/09/25;Para Fabrica;Sijia - 1500D;1;50
12/09/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
12/09/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
12/09/25;Para Fabrica;Mesh Negro;1;50
12/09/25;Para Fabrica;Sijia - Green 18oz Fabric;2;100
12/09/25;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
12/09/25;Para Fabrica;Sijia - Red 18oz Fabric;1;50
26/09/25;Para Fabrica;Sijia - Orange 18oz Fabric;2;100
03/10/25;Para Fabrica;Sijia - Azul/Naranja;5;145
08/10/25;Para Fabrica;Sijia - Gris/Blanco;2;100
09/10/25;Para Fabrica;Dropstich 20cm;1;60
13/10/25;Para Fabrica;Sijia - Green 18oz Fabric;1;50
13/10/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
13/10/25;Para Fabrica;Sijia - 1500D;2;100
13/10/25;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
